main
include
stdio
printf
scanf
getc
gets
getchar
puts
putchar
putc
EOF
NULL
limits
INT_MIN
LONG_MIN
INT_MAX
LONG_MAX
UINT_MAX
CHAR_MIN
CHAR_MAX
FLT_MIN
FLT_MAX
FLT_DIG
FLT_EPSILON
stdlib
malloc
realloc
calloc
free
math
abs
fabs
pow
sqrt
sin
cos
tan
ceil
floor
round
string
strcpy
strncpy
strcat
strncat
strlen
strcmp
strncmp
